"longitude","latitude","timestamp","satellites","HDOP"
-58.39306,-34.5878866667,1236101164,8,1
-58.3928533333,-34.5874883333,1236101225,7,1.1
-58.3928516667,-34.5874833333,1236101285,4,2
-58.3928516667,-34.5874833333,1236101345,8,1
-58.39264,-34.5874283333,1236101405,7,1.2
-58.3920833333,-34.5875333333,1236101468,6,1.4
-58.3920833333,-34.5875333333,1236101526,6,1.4
-58.38255,-34.5952366667,1236101946,5,1.3
-58.3824933333,-34.595455,1236102006,9,0.9
-58.38183,-34.6028483333,1236102427,6,1.5
-58.377655,-34.6035366667,1236102547,5,1.3
-58.3753316667,-34.6034216667,1236102670,5,1.7
-58.37525,-34.60413,1236102727,5,1.2
-58.3751666667,-34.604495,1236104662,7,1
-58.3748,-34.6043616667,1236104784,6,1.2
-58.3747766667,-34.6045583333,1236104902,3,3.1
-58.3747266667,-34.6044316667,1236104962,5,1.7
-58.3746516667,-34.6045866667,1236105022,6,1.2
-58.3746516667,-34.6045866667,1236105083,5,1.8
-58.3744183333,-34.6045666667,1236105142,3,2.9
-58.374105,-34.6045116667,1236105323,4,6
-58.3746316667,-34.6044166667,1236105446,4,1.3
-58.374365,-34.6043933333,1236105626,5,2.8
-58.3745066667,-34.6044433333,1236105683,3,1.6
-58.374445,-34.6044833333,1236105743,3,3.4
-58.3746633333,-34.604435,1236105803,5,1.9
-58.374805,-34.60471,1236105866,5,1.4
-58.37461,-34.604565,1236105926,5,1.4
-58.374765,-34.6047766667,1236105985,4,1.7
-58.374495,-34.6045466667,1236106164,4,2
-58.3748583333,-34.6046616667,1236106224,3,1.6
-58.3748583333,-34.6046616667,1236106285,3,1.6
-58.3747283333,-34.604625,1236106467,3,2
-58.3753416667,-34.6038383333,1236106528,6,1.5
-58.3750333333,-34.6033116667,1236106588,7,1
-58.3748816667,-34.6016933333,1236106831,5,5.6
-58.3747866667,-34.6011683333,1236106887,4,5.5
-58.375065,-34.60056,1236106947,3,3.3
-58.3753883333,-34.5984516667,1236107549,4,3.2
-58.3754233333,-34.5985466667,1236107609,3,2.3
-58.37511,-34.5985016667,1236107670,3,2.7
-58.3754566667,-34.5982433333,1236107789,3,2.4
-58.3747916667,-34.5988633333,1236107850,3,2.4
-58.375645,-34.5981616667,1236107910,5,2.7
-58.375235,-34.5985866667,1236107972,5,2.8
-58.375395,-34.5986166667,1236108034,5,2.8
-58.3752266667,-34.5985566667,1236108211,3,5.6
-58.3750633333,-34.5987533333,1236108390,4,4.9
-58.37495,-34.5988116667,1236108450,4,2.1
-58.37509,-34.5987066667,1236108630,3,4.2
-58.37509,-34.5987066667,1236108690,3,4.2
-58.3754983333,-34.598395,1236108751,4,2.4
-58.375145,-34.5988733333,1236108812,4,2.4
-58.375245,-34.5985433333,1236108871,3,3.7
-58.3756966667,-34.59878,1236108931,4,3.6
-58.3753716667,-34.599575,1236108993,5,1.8
-58.3753316667,-34.6004483333,1236109053,4,3.4
-58.3751866667,-34.602035,1236109174,5,1.8
-58.3753583333,-34.60308,1236109297,4,3.1
-58.375365,-34.6035416667,1236109358,4,3
-58.3752483333,-34.603515,1236110983,5,2.6
-58.375065,-34.6032016667,1236111042,4,2.2
-58.371105,-34.6030566667,1236111101,4,2.2
-58.371105,-34.6030566667,1236111163,4,2.2
-58.3729783333,-34.58761,1236111701,4,2.2
-58.3729683333,-34.5876933333,1236111761,3,2.8
-58.37361,-34.5869933333,1236112308,5,1.7
-58.373215,-34.58749,1236113035,6,1.7
-58.37339,-34.5874866667,1236113094,5,1.5
-58.373345,-34.5877516667,1236113155,5,3.1
-58.3733883333,-34.5875383333,1236113216,7,1.3
-58.3733883333,-34.5875383333,1236113273,7,1.3
-58.3734733333,-34.587515,1236113333,4,3.9
-58.37342,-34.587355,1236113393,5,3.1
-58.3733533333,-34.587655,1236113455,4,4.7
-58.373255,-34.5873216667,1236113514,4,4.3
-58.3734383333,-34.5877266667,1236113574,5,3.6
-58.3734283333,-34.5874333333,1236113634,5,3.6
-58.373475,-34.587715,1236113814,5,3.7
-58.37357,-34.587605,1236113875,8,1.1
-58.3722183333,-34.59151,1236114356,7,1.3
-58.3674633333,-34.6093516667,1236114655,5,3.3
-58.3674633333,-34.6093516667,1236114715,5,3.3
