"longitude","latitude"
-58.37361,-34.5869933333
-58.3735583333,-34.5857683333
-58.3735033333,-34.5845533333
-58.37461,-34.5859033333
-58.3739533333,-34.5866433333
-58.3733166667,-34.5873616667
-58.3726683333,-34.58809
-58.3726683333,-34.58809
-58.3721916667,-34.5886266667
-58.3722466667,-34.5873016667
-58.3732683333,-34.58782
-58.37315,-34.587005
-58.373215,-34.58749
-58.37339,-34.5874866667
-58.373345,-34.5877516667
-58.3733883333,-34.5875383333
-58.3733883333,-34.5875383333
-58.3734733333,-34.587515
-58.37342,-34.587355
-58.3733533333,-34.587655
-58.373255,-34.5873216667
-58.3734383333,-34.5877266667
-58.3734283333,-34.5874333333
-58.37344,-34.5876666667
-58.37344,-34.5876666667
-58.373475,-34.587715
-58.37357,-34.587605
-58.374675,-34.5870233333
-58.3755383333,-34.5865683333
-58.3761533333,-34.5861983333
-58.3757383333,-34.5846666667
-58.37299,-34.5857133333
-58.3717383333,-34.588015
-58.3711683333,-34.5898233333
-58.3722183333,-34.59151
-58.3704483333,-34.5954116667
-58.3688133333,-34.600275
-58.3684166667,-34.60107
-58.3682733333,-34.60403
-58.3674633333,-34.6093516667
-58.3674633333,-34.6093516667
